performanceIndex,measure,occurrence,timeSeconds
532,408,1,427.051
533,409,1,427.609
534,410,1,428.362
535,411,1,429.076
536,412,1,429.709
537,413,1,430.443
538,414,1,431.184
539,415,1,431.740
540,416,1,432.443
541,417,1,433.251
542,418,1,433.809
543,419,1,434.562
544,420,1,435.335
545,421,1,436.073
546,422,1,436.643
547,423,1,437.576
548,424,1,438.140
549,425,1,438.743
550,426,1,439.451
551,427,1,440.009
552,428,1,440.762
553,429,1,441.476
554,430,1,442.109
555,431,1,442.829
556,432,1,443.576
557,433,1,444.309
558,434,1,444.895
559,435,1,445.476
560,436,1,446.209
561,437,1,446.962
562,438,1,447.517
563,439,1,448.109
564,440,1,448.829
565,441,1,449.576
566,442,1,450.140
567,443,1,450.743
568,444,1,451.451
569,445,1,452.206
570,446,1,452.762
571,447,1,453.535
572,448,1,454.273
573,449,1,454.629
574,450,1,455.376
575,451,1,456.179
576,452,1,456.895
577,453,1,457.451
578,454,1,458.009
579,455,1,458.762
580,456,1,459.476
581,457,1,460.109
582,458,1,460.643
583,459,1,461.384
584,460,1,462.109
585,461,1,462.843
586,462,1,463.451
587,463,1,464.009
588,464,1,464.943
589,465,1,465.576
590,466,1,466.273
591,467,1,466.829
592,468,1,467.384
593,469,1,468.279
594,470,1,468.895
595,471,1,469.851
596,472,1,470.406
597,473,1,470.962
598,474,1,471.676
599,475,1,472.473
600,476,1,474.228
601,477,1,474.784
602,478,1,475.340
603,479,1,476.323
604,480,1,478.301
605,481,1,479.206
606,482,1,479.762
607,483,1,480.317
608,484,1,485.273
609,485,1,485.843
610,486,1,486.676
611,487,1,487.509
612,488,1,488.295
613,489,1,488.876
614,490,1,489.609
615,491,1,490.362
616,492,1,491.235
617,493,1,491.873
618,494,1,492.643
619,495,1,493.384
620,496,1,494.140
621,497,1,494.695
622,498,1,495.476
623,499,1,496.806
624,500,1,498.509
625,501,1,499.517
626,502,1,500.000
